ParticipantID,Age,Gender,Musician,UseStreaming,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,FavoriteGenre,TrackID,CompressionThreshold,BassBoost,Genre,Year,RMSoverall,RMSdifference,Order,Liking,ResponseTime
1,30,Female,No,2,5,4,4,5,2,Rock,1,0dB,Yes,Pop,1997,-23.7403427378226,-14.0670332200706,17,50,78.3480162167842
1,30,Female,No,2,5,4,4,5,2,Rock,2,-12dB,No,Jazz,1999,-40.0939485490335,-20.454962798475,4,87,54.0384107242402
1,30,Female,No,2,5,4,4,5,2,Rock,3,-24dB,No,Pop,1997,-23.7118176893998,-10.7596445290569,2,64,64.3123416897132
1,30,Female,No,2,5,4,4,5,2,Rock,4,0dB,Yes,Rock,2000,-20.5666610946666,-8.48108548413992,33,95,29.9963387477987
1,30,Female,No,2,5,4,4,5,2,Rock,5,-12dB,Yes,Pop,1999,-12.5235006864689,-7.15866246887489,57,96,32.997391389557
1,30,Female,No,2,5,4,4,5,2,Rock,6,-24dB,Yes,Classical,1995,-54.6463468785541,-37.1192504032952,40,39,56.1270069203466
1,30,Female,No,2,5,4,4,5,2,Rock,7,-24dB,Yes,Rock,1996,-25.2613056669179,-12.6033930761515,23,82,44.0221428678516
1,30,Female,No,2,5,4,4,5,2,Rock,8,-12dB,Yes,Rock,1999,-15.3994357781859,-6.72730641087322,7,100,66.4514114387251
1,30,Female,No,2,5,4,4,5,2,Rock,9,0dB,No,Pop,1998,-29.5685197324296,-16.3194569175572,6,44,56.5648334986885
1,30,Female,No,2,5,4,4,5,2,Rock,10,-12dB,No,Country,1996,-40.9731112574953,-22.3680113178577,34,55,64.5561814926577
1,30,Female,No,2,5,4,4,5,2,Rock,11,-12dB,No,Pop,1998,-27.1464755740383,-14.3029329048323,38,99,29.8117093447115
1,30,Female,No,2,5,4,4,5,2,Rock,12,-12dB,Yes,Rock,1996,-17.6592942389464,-11.2244524788383,27,92,43.7951125833654
1,30,Female,No,2,5,4,4,5,2,Rock,13,-24dB,Yes,Pop,2000,-18.955979230333,-10.7971501617426,1,78,78.2888790081955
1,30,Female,No,2,5,4,4,5,2,Rock,14,-24dB,No,Pop,1997,-27.3494242641391,-11.6181573096322,35,62,51.95370504456
1,30,Female,No,2,5,4,4,5,2,Rock,15,0dB,No,Rock,1997,-28.1476303652271,-14.9605215485624,14,87,46.4270891560611
1,30,Female,No,2,5,4,4,5,2,Rock,16,-12dB,Yes,Country,1997,-10.3488672148715,-6.5377493521138,12,93,73.1672312527119
1,30,Female,No,2,5,4,4,5,2,Rock,17,0dB,No,Pop,1998,-31.2982955430438,-16.9412631336289,46,24,60.5668402178143
1,30,Female,No,2,5,4,4,5,2,Rock,18,0dB,Yes,Jazz,2000,-30.3655158769499,-16.295038107512,13,64,66.1663087059818
1,30,Female,No,2,5,4,4,5,2,Rock,19,0dB,Yes,Pop,1998,-21.5508486328638,-10.541553480818,42,67,44.6480623329572
1,30,Female,No,2,5,4,4,5,2,Rock,20,0dB,Yes,EDM,1999,-29.0661198109957,-14.4461934031361,20,71,70.4704690881633
1,30,Female,No,2,5,4,4,5,2,Rock,21,-12dB,Yes,Country,1998,-31.3893381131428,-15.7322356697537,44,59,61.6427166878512
1,30,Female,No,2,5,4,4,5,2,Rock,22,-24dB,Yes,Pop,1998,-14.5584479994376,-6.72173239786789,58,75,33.7537819267297
1,30,Female,No,2,5,4,4,5,2,Rock,23,-12dB,Yes,Pop,2000,-36.3013482859906,-17.518730035296,28,92,55.2698953552631
1,30,Female,No,2,5,4,4,5,2,Rock,24,-12dB,Yes,Country,2000,-29.3136010203115,-15.3676300122914,51,68,39.628913753903
1,30,Female,No,2,5,4,4,5,2,Rock,25,-24dB,Yes,Rock,1996,-27.2604363906305,-15.9832863039398,3,96,68.0389193549188
1,30,Female,No,2,5,4,4,5,2,Rock,26,0dB,Yes,Rock,1999,-24.2278339919142,-12.8128165484078,59,81,12.0575468662704
1,30,Female,No,2,5,4,4,5,2,Rock,27,-12dB,Yes,Rap,1995,-37.19641213035,-19.4553179355272,29,77,61.1295264117064
1,30,Female,No,2,5,4,4,5,2,Rock,28,-12dB,No,Rock,1998,-11.2026293233886,-6.95684264221807,52,100,9.42410513118235
1,30,Female,No,2,5,4,4,5,2,Rock,29,0dB,Yes,Rap,1999,-18.5677432954753,-7.23470237970906,36,76,37.5530432312005
1,30,Female,No,2,5,4,4,5,2,Rock,30,-24dB,No,Rap,1996,-29.1074009988294,-17.0470482886146,22,63,63.2040281207418
1,30,Female,No,2,5,4,4,5,2,Rock,31,-24dB,No,Country,2016,-16.5539859189734,-4.91828684332574,30,82,68.4261490094863
1,30,Female,No,2,5,4,4,5,2,Rock,32,-12dB,No,Rap,2016,-2.41739738528889,2,41,100,13.2105757644609
